epoch,train_size,neurons_count,accuracy,error,duration_ms
10,20,20,0.90445,0.5389160831743739,73
10,418,20,0.97535,0.4529654350849466,68
10,816,20,0.97535,0.3660509168745312,69
10,1214,20,0.97535,0.1266637010171351,73
10,1612,20,0.97535,0.13277205708152104,68
10,2010,20,0.97535,0.13105822756012897,68
10,2408,20,0.97535,0.10121896478688196,72
10,2806,20,0.97535,0.09869535159298258,69
10,3204,20,0.97535,0.21607847621789888,68
10,3602,20,0.97535,0.19805440064685845,67
1,100000,20,0.97535,0.05674094989905317,70
2,100000,20,0.97535,0.05674094989905317,68
3,100000,20,0.97535,0.05674094989905317,71
4,100000,20,0.97535,0.05674094989905317,68
5,100000,20,0.9882,0.030902146529736878,68
6,100000,20,0.9882,0.02881709811142447,49
7,100000,20,0.9882,0.0279281936577648,46
8,100000,20,0.9882,0.0279281936577648,44
9,100000,20,0.9882,0.025906436724394216,47
10,100000,20,0.9882,0.025906436724394216,43
10,100000,1,0.9029,0.1632661241852221,10
10,100000,11,0.97535,0.050685727899337056,31
10,100000,21,0.9882,0.02587305956634462,48
10,100000,31,0.9882,0.02888608486937382,67
10,100000,41,0.9882,0.028698841291992017,84
10,100000,51,0.9882,0.02403737831795763,100
10,100000,61,0.9882,0.0248783105344029,117
10,100000,71,0.9882,0.030775518027453888,134
10,100000,81,0.9882,0.027489587079370686,160
10,100000,91,0.9882,0.024835688424297068,181
10,100000,101,0.9882,0.024629942306226036,192
